Name,Rural Hospitals,Rural Beds,Urban Hospitals,Urban Beds,Total Hospitals,totalBeds,asOn,March 10,March 11,March 12,March 13,March 14,March 15,March 16,March 17,March 18,March 19,March 20,March 21,March 22,March 23,March 24,March 25,March 26,March 27,March 28,March 29,March 30,March 31,April 01,April 02,April 03,April 04,April 05,April 06,April 07,April 08,April 09,April 10,April 11,April 12,April 13,April 14,April 15,April 16,April 17,April 18,April 19,April 20,April 21,April 22,April 23,April 24,April 25,April 26,April 27,April 28,April 29,April 30,May 01,May 02,May 03,May 04,May 05,May 06,May 07,May 08,May 09,May 10,May 11,May 12,May 13,May 14,May 15,May 16,May 17,May 18,May 19,May 20,May 21,May 22,May 23,May 24,May 25,May 26,May 27,May 28,May 29,May 30,May 31,June 01,June 02,June 03,June 04,June 05,June 06,June 07,June 08,June 09,June 10,June 11,June 12,June 13,June 14,June 15,June 16,June 17,June 18,June 19,June 20,June 21,June 22,June 23,June 24,Final,Hospital Beds,Helpline
Kerala,981,16865,299,21139,1280,38004,2017-01-01T00:00:00.000Z,9,17,17,19,19,22,23,26,27,27,28,40,52,67,95,109,118,137,176,182,202,234,241,265,286,295,306,314,327,336,345,357,364,374,376,379,387,388,395,396,400,402,408,427,438,448,451,458,469,482,486,496,497,498,500,500,500,502,503,503,503,505,512,519,524,534,560,576,587,601,630,642,666,690,732,795,847,896,963,1004,1088,1150,1208,1269,1326,1412,1494,1588,1699,1807,1914,2005,2096,2161,2244,2322,2407,2461,2543,2622,2697,2794,2912,3039,3172,3310,3451,3451,38004,+91-471-2552056
Madhya Pradesh,334,10020,117,18819,451,28839,2016-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,4,4,6,7,14,20,20,30,30,47,47,66,99,104,104,165,165,229,229,259,259,443,564,604,730,987,1120,1308,1355,1407,1485,1540,1592,1695,1852,1952,2096,2168,2368,0,2660,2719,2719,2846,2942,3049,3049,3138,3252,3341,3614,3614,3785,3986,4173,4426,4595,4789,4977,5236,5465,5735,5981,6170,6371,6665,6859,7024,7261,7453,7645,7891,8089,8283,8420,8588,8762,8996,9228,9401,9638,9849,10049,10241,10443,10641,10802,10935,11083,11244,11426,11582,11724,11903,12078,12261,12261,28839,+91-755-2527177
Maharashtra,273,12398,438,39048,711,51446,2015-12-31T00:00:00.000Z,2,2,11,14,14,32,32,39,42,47,52,63,67,74,89,128,124,130,180,186,198,216,302,335,335,490,490,748,868,1018,1135,1364,1574,1761,1985,2337,2687,2919,3205,3323,3651,4203,4669,5221,5652,6430,6817,7628,8068,8590,9318,9915,10498,11506,12296,12974,14541,15525,16758,17974,19063,20228,22171,23401,24427,25922,27524,29100,30706,33053,35058,37136,39297,41642,44582,47190,50231,52667,54758,56948,59546,62228,65168,67655,70013,72300,74860,77793,80229,82968,85975,88528,90787,94041,97648,101141,104568,107958,110744,113445,116752,120504,124331,128205,132075,135796,139010,139010,51446,+91-20-26127394
Manipur,23,730,7,697,30,1427,2014-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,7,7,7,9,25,25,26,29,32,39,39,44,55,59,62,71,83,89,118,124,132,157,172,272,304,311,366,385,449,458,490,500,552,606,681,777,841,898,921,921,1427,+91-3852411668
Meghalaya,143,1970,14,2487,157,4457,2017-12-31T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,9,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15,20,21,27,27,27,27,27,33,33,33,33,36,36,43,44,44,44,44,44,44,44,44,44,44,44,44,44,46,46,4457,108
Mizoram,56,604,34,1393,90,1997,2017-12-31T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,14,17,22,24,34,42,88,93,102,104,107,112,117,121,121,130,130,140,141,141,142,142,1997,102
Nagaland,21,630,15,1250,36,1880,2015-12-31T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,18,25,36,43,43,49,58,80,94,107,118,123,127,128,128,156,163,168,177,179,193,193,198,201,211,280,330,330,1880,+91-7005539653
Odisha,1655,6339,149,12180,1804,18519,2017-12-31T00:00:00.000Z,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,4,5,5,20,21,42,42,42,44,48,54,54,55,60,60,60,60,61,68,74,82,83,90,94,103,108,118,119,128,143,154,160,163,170,175,185,219,271,294,377,414,437,538,611,672,737,828,876,978,1052,1103,1189,1269,1336,1438,1517,1593,1660,1723,1819,1948,2104,2245,2388,2478,2608,2781,2856,2994,3140,3250,3386,3498,3723,3909,4055,4163,4338,4512,4677,4856,5160,5303,5470,5470,18519,+91-9439994859
Punjab,510,5805,172,12128,682,17933,2017-12-31T00:00:00.000Z,1,1,1,1,1,1,1,1,1,2,2,13,21,21,29,29,33,33,38,38,38,41,42,46,48,57,57,76,91,91,101,132,132,151,167,176,186,186,186,202,219,219,245,251,277,277,298,298,313,313,322,357,357,772,772,1102,1233,1451,1516,1644,1731,1762,1823,1877,1914,1924,1935,1935,1946,1964,1980,2002,2005,2028,2029,2045,2060,2060,2106,2139,2158,2197,2233,2263,2301,2342,2376,2415,2461,2515,2608,2663,2719,2805,2887,2986,3063,3140,3267,3371,3497,3615,3832,3952,4074,4235,4397,4397,17933,104
Rajasthan,602,21088,150,10760,752,31848,2016-12-31T00:00:00.000Z,2,3,3,3,3,4,4,4,4,7,17,17,24,28,32,36,41,41,54,55,59,74,93,108,167,200,200,274,288,328,383,463,553,700,812,879,1005,1023,1131,1229,1351,1478,1576,1801,1890,1964,2034,2083,2185,2262,2364,2438,2584,2666,2772,2886,3061,3158,3317,3427,3579,3708,3814,3988,4126,4328,4534,4727,4960,5202,5507,5845,6015,6227,6494,6742,7028,7300,7536,7703,8067,8365,8617,8831,8980,9373,9652,9862,10084,10331,10599,10763,11245,11600,11838,12068,12401,12694,12981,13216,13542,13857,14156,14536,14930,15232,15627,15627,31848,+91-141-2225624
Sikkim,24,260,9,1300,33,1560,2017-12-31T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,3,7,7,7,13,13,14,63,63,68,68,70,70,70,70,70,78,78,79,79,1560,104
Tamil Nadu,692,40179,525,37353,1217,77532,2017-12-31T00:00:00.000Z,1,1,1,1,1,1,1,1,1,2,3,3,7,9,15,18,26,29,40,49,67,74,234,234,309,411,485,571,621,690,738,834,911,969,1075,1173,1204,1242,1267,1323,1372,1477,1520,1596,1629,1683,1755,1821,1885,1937,2058,2162,2323,2526,2757,3023,3550,4058,4829,5409,6009,6535,7204,8002,8718,9227,9674,10108,10585,11224,11760,12448,13191,13967,14753,15512,16277,17082,17728,18545,19372,20246,21184,22333,23495,24586,25872,27256,28694,30152,31667,33229,34914,36841,38716,40698,42687,44661,46504,48019,50193,52334,54449,56845,59377,62087,64603,64603,77532,+91-44-29510500
Telangana,802,7668,61,13315,863,20983,2017-12-31T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4111,4320,4484,4737,4974,5193,5406,5675,6027,6526,7072,7802,8674,9553,9553,20983,1075
Tripura,99,1140,56,3277,155,4417,2017-12-31T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,16,29,43,43,65,118,134,150,152,154,155,156,156,167,167,167,173,173,173,175,189,191,194,207,230,242,251,268,313,420,468,468,644,692,747,800,838,864,895,913,961,1046,1076,1086,1092,1135,1155,1178,1186,1221,1237,1259,1259,4417,+91-381-2315879
Uttar Pradesh,4442,39104,193,37156,4635,76260,2017-12-31T00:00:00.000Z,9,9,11,11,12,13,13,15,16,19,23,24,27,31,33,37,41,41,55,65,82,101,103,113,172,174,227,305,305,343,410,431,433,452,483,657,735,773,846,969,1084,1176,1294,1412,1509,1604,1778,1843,1955,2043,2115,2203,2281,2455,2626,2742,2859,2880,2998,3071,3214,3373,3467,3573,3664,3729,3902,4057,4258,4259,4605,4926,5175,5515,5735,6017,6268,6532,6548,6991,7170,7284,7445,7823,8075,8361,8729,9237,9733,9733,10536,10947,11335,11610,12088,12616,13118,13615,13615,14091,14598,15181,15785,16594,17731,18322,18893,18893,76260,18001805145
Uttarakhand,410,3284,50,5228,460,8512,2015-12-31T00:00:00.000Z,0,0,0,0,0,1,1,1,1,1,3,3,3,3,4,4,5,5,5,7,7,7,7,7,10,16,22,26,31,31,35,35,35,35,35,35,37,37,37,42,42,44,46,46,46,47,48,50,51,51,54,55,57,58,59,60,60,61,61,61,63,67,68,68,69,72,78,82,88,92,93,111,122,146,153,244,317,349,401,469,500,716,749,907,958,1043,1085,1153,1215,1303,1355,1411,1537,1562,1643,1724,1785,1819,1845,1942,2023,2102,2177,2301,2344,2402,2535,2535,8512,104
West Bengal,1272,19684,294,58882,1566,78566,2015-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,1,1,2,3,4,7,9,9,10,10,15,18,22,26,37,53,63,69,80,80,91,99,103,116,126,134,152,190,213,231,255,287,310,339,392,423,456,514,571,611,649,697,725,758,795,795,922,963,1259,1344,1456,1548,1678,1786,1939,2063,2173,2290,2377,2461,2576,2677,2825,2961,3103,3197,3332,3459,3667,3816,4009,4192,4536,4813,5130,5501,5772,6168,6508,6876,7303,7738,8187,8613,8985,9328,9768,10244,10698,11087,11494,11909,12300,12735,13090,13531,13945,14358,14728,14728,78566,1800313444222
Andaman and Nicobar Islands,27,575,3,500,30,1075,2016-12-31T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,1075
Chandigarh,0,0,4,778,4,778,2016-12-31T00:00:00.000Z,0,0,0,0,0,0,0,0,0,1,1,1,5,6,7,7,7,7,8,8,8,13,16,16,18,18,18,18,18,18,18,18,18,19,21,21,21,21,21,21,23,26,26,27,27,27,28,30,30,40,56,56,56,88,94,94,102,111,120,135,150,169,169,174,187,187,191,191,191,191,196,200,202,217,218,225,238,238,266,279,288,289,289,293,294,301,301,301,304,309,314,317,323,327,332,334,345,352,354,358,368,374,381,404,406,411,418,418,778,+91-9779558282
Dadra and Nagar Haveli,10,273,1,316,11,589,2017-12-31T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,1075
Daman and Diu,5,240,0,0,5,240,2015-12-31T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,104
Delhi,0,0,109,24383,109,24383,2015-01-01T00:00:00.000Z,4,5,6,7,7,7,7,8,10,12,17,26,29,29,30,31,36,36,39,49,87,97,152,219,219,445,503,523,576,576,669,898,903,1069,1154,1510,1561,1578,1640,1707,1893,2003,2081,2156,2248,2376,2514,2625,2918,3108,3314,3439,3515,3738,4122,4549,4898,5104,5532,5980,6318,6542,6923,7233,7639,7998,8470,8895,9333,10054,10054,10554,11088,11659,12319,12910,13418,14053,14465,15257,16281,17386,18549,19844,20834,22132,23645,25004,26334,27654,28936,29943,31309,32810,34687,36824,38958,41182,42829,44688,47102,49979,53116,56746,59746,62655,66602,66602,24383,+91-11-22307145
Lakshadweep,9,300,0,0,9,300,2016-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,104
Puducherry,3,96,11,3473,14,3569,2016-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,12,13,13,13,13,13,13,18,18,18,20,26,26,41,41,46,46,51,51,51,70,74,82,82,82,99,99,99,127,127,127,157,157,176,194,202,216,245,271,286,286,366,383,402,402,3569,104
