,name,city,district,category,latitude,longitude,url,id,state,helpline
156,Andhra Medical College,Visakhapatnam,Visakhapatnam,government,17.706495,83.30484,https://goo.gl/maps/D7sFJ2NiH1A5mgU99,27,Andhra Pradesh,089127 12258
157,Government Medical College,Anantapur,Anantapur,government,14.671293,77.592895,https://goo.gl/maps/KxHBYpDojhf96ciu9,27,Andhra Pradesh,044-25333319
158,Sidhartha Medical College,Vijayawada,Vijayawada,government,16.517449,80.671302,https://goo.gl/maps/T1UYqedvBRb4bz3V7,27,Andhra Pradesh,0866 245 0390
159,Rangaraya Medical College,Kakinada,Kakinada,government,16.979127,82.237259,https://goo.gl/maps/UQNVrtpQWdQrDr7u7,27,Andhra Pradesh,0884 236 3401
160,Guntur Medical College,Guntur,Guntur,other,16.298177,80.438256,https://goo.gl/maps/FEi3p69qWo7yRLvt8,27,Andhra Pradesh,0863 223 4625
161,Gauhati Medical College,Guwahati,Guwahati,government,26.154538,91.770104,https://goo.gl/maps/mUkC78SnRh67Wwa99,28,Assam,0361 213 2751
162,Regional Medical Research Center (RMCR),Dibrugarh,Dibrugarh,government,27.472838,94.982893,https://goo.gl/maps/3YFnLjGYntuBBNkT6,28,Assam,0373 238 1494
163,Silchar Medical College,Silchar,Silchar,government,24.775934,92.795077,https://goo.gl/maps/3cCjnP9PpZ7AhCZJA,28,Assam,03842 229 110
164,Jorhat Medical College,Jorhat,Jorhat,government,26.74248,94.195198,https://goo.gl/maps/HJY8sXAqcn9J4b726,28,Assam,0376 237 0107
165,"Fakhruddin Ali Ahmed Medical College, Barpeta",Barpeta,Barpeta,other,26.324421,90.984979,https://goo.gl/maps/xGrAndZqTTUonSsg8,28,Assam,03665 252 081
